epoch 0: loss_token=2.83, acc_token=0.586
epoch 1: loss_token=2.49, acc_token=0.64
epoch 2: loss_token=2.32, acc_token=0.668
epoch 3: loss_token=2.22, acc_token=0.686
epoch 4: loss_token=2.15, acc_token=0.693
epoch 5: loss_token=2.1, acc_token=0.708
epoch 6: loss_token=2.07, acc_token=0.711
epoch 7: loss_token=2.04, acc_token=0.718
epoch 8: loss_token=2.03, acc_token=0.722
epoch 9: loss_token=2.02, acc_token=0.719
